relative_time;time;joint_current_1;joint_current_2;joint_current_3;joint_current_4;joint_current_5;joint_current_6;joint_current_7;joint_voltage_1;joint_voltage_2;joint_voltage_3;joint_voltage_4;joint_voltage_5;joint_voltage_6;joint_voltage_7;joint_temp_1;joint_temp_2;joint_temp_3;joint_temp_4;joint_temp_5;joint_temp_6;joint_temp_7;joint_angle_1;joint_angle_2;joint_angle_3;joint_angle_4;joint_angle_5;joint_angle_6;joint_angle_7;joint_speed_1;joint_speed_2;joint_speed_3;joint_speed_4;joint_speed_5;joint_speed_6;joint_speed_7
0.0;2025-07-22 13:21:37.709198;1327;10556;-5076;604;-375;444;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2645;241;2349;596;1557;-471;0;291;-583;-165;598;-26;286;0
0.821128;2025-07-22 13:21:38.530326;1377;7553;-5300;462;-343;379;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2647;238;2348;599;1557;-470;0;-565;-508;-613;-92;64;-562;0
1.819076;2025-07-22 13:21:39.528274;1240;4312;-5831;448;-315;338;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2589;-11;2174;717;1564;-528;0;-318;129;-63;-211;24;-314;0
3.814226;2025-07-22 13:21:41.523424;-3218;2870;-7827;393;178;-595;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1617;45;1752;196;1651;-1496;0;372;-84;801;910;-25;369;0
4.824455;2025-07-22 13:21:42.533653;-3456;14089;-8335;508;352;-549;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1699;34;2008;470;1646;-1414;0;375;-83;810;927;-27;370;0
5.830715;2025-07-22 13:21:43.539913;-549;8175;-8825;558;622;-434;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1705;33;2020;483;1645;-1408;0;379;-84;821;930;-28;375;0
7.835255;2025-07-22 13:21:45.544453;2183;5044;-4403;1771;-215;526;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1904;-12;2440;965;1632;-1211;0;63;-56;-92;-31;-5;65;0
7.842006;2025-07-22 13:21:45.551204;2229;5003;-4449;1881;-205;535;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1904;-13;2440;964;1632;-1210;0;67;-58;-99;-34;-5;71;0
7.860903;2025-07-22 13:21:45.570101;2563;3286;-7369;769;-196;448;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1905;-14;2438;964;1632;-1209;0;83;-71;-120;-41;-6;82;0
8.869681;2025-07-22 13:21:46.578879;2554;2984;-7264;700;-210;430;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2158;-238;2075;838;1608;-957;0;356;624;304;-406;-44;361;0
9.822068;2025-07-22 13:21:47.531266;2389;13037;-3968;128;-205;553;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2548;436;2405;396;1567;-567;0;2;-1;0;0;0;2;0
10.824904;2025-07-22 13:21:48.534102;1336;2622;-6088;329;-334;347;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2548;436;2405;396;1567;-567;0;297;-598;-171;609;-31;296;0
11.822077;2025-07-22 13:21:49.531275;723;4774;-7484;1565;-480;421;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2365;-213;1934;677;1587;-750;0;-289;-260;-311;-47;25;-288;0
12.824905;2025-07-22 13:21:50.534103;-1327;8454;-7525;549;306;-411;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2362;-215;1931;677;1588;-753;0;-912;371;-185;-607;81;-910;0
13.823973;2025-07-22 13:21:51.533171;-3822;13627;-9022;238;389;-627;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2009;-106;2289;912;1622;-1105;0;441;-391;-629;-221;-35;437;0
14.823839;2025-07-22 13:21:52.533037;1615;5191;-5680;1666;18;421;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2013;-110;2282;910;1622;-1101;0;53;-47;-76;-26;-3;54;0
15.825937;2025-07-22 13:21:53.535135;1304;4989;-4985;1821;-292;389;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2156;-237;2077;839;1609;-959;0;44;-38;-63;-22;-5;45;0
17.476246;2025-07-22 13:21:55.185444;86;7525;-5964;439;-398;315;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2547;434;2404;397;1567;-569;0;30;51;26;-33;-5;31;0
17.980947;2025-07-22 13:21:55.690145;96;7502;-6083;480;-338;311;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2591;349;2380;485;1563;-524;0;245;-494;-142;509;-22;246;0
18.825678;2025-07-22 13:21:56.534876;1181;1945;-6115;512;-393;315;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2709;113;2313;726;1551;-408;0;82;-168;-48;171;-13;82;0
19.825451;2025-07-22 13:21:57.534649;2458;-1007;-8967;1927;-411;421;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2709;113;2313;727;1551;-408;0;-430;-391;-459;-77;50;-429;0
20.826781;2025-07-22 13:21:58.535979;-970;8477;-7850;608;599;-494;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1577;61;1744;170;1654;-1535;0;304;-67;655;749;-18;301;0
21.826022;2025-07-22 13:21:59.535220;-4481;14694;-9228;325;334;-636;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1900;-10;2442;964;1632;-1214;0;19;-4;42;46;-1;18;0
22.824793;2025-07-22 13:22:00.533991;-965;9576;-8610;549;393;-352;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1901;-10;2442;964;1632;-1214;0;164;-145;-239;-80;-12;162;0
24.537834;2025-07-22 13:22:02.247032;764;4202;-4719;1661;-251;421;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2368;125;2253;600;1586;-747;0;514;886;436;-584;-48;513;0
25.053127;2025-07-22 13:22:02.762325;315;7594;-5982;471;-421;407;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2537;418;2396;408;1568;-578;0;177;-358;-106;370;-25;178;0
26.055389;2025-07-22 13:22:03.764587;1606;6930;-4243;114;-640;540;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2691;149;2323;689;1553;-426;0;174;-354;-102;362;-28;175;0
27.065191;2025-07-22 13:22:04.774389;2357;-778;-8912;1716;-347;357;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2702;90;2296;737;1552;-415;0;-5;-4;-6;0;0;-5;0
28.571495;2025-07-22 13:22:06.280693;910;4852;-7305;1354;-297;311;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1580;60;1745;171;1654;-1532;0;377;-84;813;933;-39;377;0
28.82463;2025-07-22 13:22:06.533828;-1849;7228;-7594;544;636;-526;0;46;47;47;47;47;47;0;32;32;31;31;33;33;0;1774;17;2168;652;1641;-1340;0;94;-20;202;232;-3;93;0
30.08924;2025-07-22 13:22:07.798438;-155;9027;-8596;407;489;-663;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1926;-33;2407;953;1630;-1188;0;289;-259;-413;-147;-33;288;0
32.599342;2025-07-22 13:22:10.308540;3071;3456;-7360;631;-196;503;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2305;15;2199;672;1593;-810;0;485;850;412;-558;-56;487;0
33.101549;2025-07-22 13:22:10.810747;2870;3579;-7658;659;-201;521;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2307;19;2201;669;1593;-808;0;229;394;199;-261;-26;227;0
34.119855;2025-07-22 13:22:11.829053;1391;10459;-4151;-105;-636;599;0;46;47;47;47;47;47;0;32;32;31;31;33;33;0;2516;381;2378;432;1570;-599;0;221;383;193;-256;-18;220;0
35.129177;2025-07-22 13:22:12.838375;1007;3799;-6124;462;-256;389;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2520;387;2381;428;1570;-596;0;208;366;176;-237;-16;205;0
35.629606;2025-07-22 13:22:13.338804;1135;3520;-6825;672;-389;366;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2521;389;2382;427;1570;-595;0;87;-176;-51;188;-9;91;0
35.829553;2025-07-22 13:22:13.538751;595;4335;-7749;1501;-462;402;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1597;53;1748;183;1653;-1515;0;-216;86;-45;-144;25;-217;0
36.82792;2025-07-22 13:22:14.537118;-2604;5625;-7841;379;521;-590;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1596;54;1748;182;1653;-1516;0;-216;86;-45;-144;25;-217;0
37.828186;2025-07-22 13:22:15.537384;-3236;13618;-8116;476;366;-517;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1594;55;1748;181;1653;-1518;0;138;-31;299;337;-10;138;0
39.676699;2025-07-22 13:22:17.385897;2114;4847;-5259;1739;-224;462;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1740;25;2097;570;1643;-1373;0;398;-89;864;983;-31;397;0
39.826971;2025-07-22 13:22:17.536169;1666;5813;-5035;1972;-411;508;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1742;24;2101;575;1643;-1371;0;397;-89;863;980;-28;398;0
40.826674;2025-07-22 13:22:18.535872;2526;3181;-7891;691;-238;434;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2635;262;2355;574;1559;-481;0;5;-12;-3;13;-1;6;0
41.828284;2025-07-22 13:22:19.537482;1959;10995;-4907;489;-215;361;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2715;102;2309;738;1550;-402;0;-525;-470;-557;-93;51;-519;0
42.833287;2025-07-22 13:22:20.542485;1098;2595;-5342;389;-727;439;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;2608;5;2195;720;1562;-509;0;-261;106;-54;-174;20;-261;0
45.231473;2025-07-22 13:22:22.940671;215;7942;-7122;357;682;-411;0;46;47;47;47;47;47;0;32;32;31;31;33;33;0;1631;40;1755;205;1650;-1482;0;351;-79;760;860;-24;352;0
45.738109;2025-07-22 13:22:23.447307;-3790;13710;-8193;508;260;-485;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1685;37;1977;434;1647;-1428;0;221;-49;475;550;-13;220;0
46.739465;2025-07-22 13:22:24.448663;-27;7127;-8354;425;613;-462;0;47;47;47;47;47;47;0;32;32;31;31;33;33;0;1858;0;2350;859;1635;-1256;0;219;-46;469;543;-12;214;0
